"Time","Source","Destination","src_mac","dest_mac","Protocol","Info","Length","Source Port","Destination Port","channel","Channel frequency","Channel","Channel","Channel"
"0.000000000","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=117","159","","","","","","",""
"0.004138279","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1152","1194","","","","","","",""
"0.019570532","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=39","81","","","","","","",""
"0.029981884","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1149","1191","","","","","","",""
"0.032578443","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=112","154","","","","","","",""
"0.032608702","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=42","84","","","","","","",""
"0.040319493","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1150","1192","","","","","","",""
"0.041928682","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=38","80","","","","","","",""
"0.050775685","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1150","1192","","","","","","",""
"0.061175078","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1150","1192","","","","","","",""
"0.063778644","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=117","159","","","","","","",""
"0.070178879","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=82","124","","","","","","",""
"0.076613752","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1150","1192","","","","","","",""
"0.076918091","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=46","88","","","","","","",""
"0.081853422","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=42","84","","","","","","",""
"0.083991041","192.168.161.9","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","43990  >  47172 Len=38","80","","","","","","",""
"0.087229643","192.168.53.39","192.168.161.9","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","47172  >  43990 Len=1150","1192","","","","","","",""
