"Time","Source","Destination","src_mac","dest_mac","Protocol","Info","Length","Source Port","Destination Port","channel","Channel frequency","Channel","Channel","Channel"
"0.000000000","192.168.168.30","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","3368  >  36515 Len=182","224","","","","","","",""
"0.002073127","192.168.168.30","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","3368  >  36515 Len=904","946","","","","","","",""
"0.003659557","192.168.53.39","192.168.168.30","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","36515  >  3368 Len=853","895","","","","","","",""
"0.014084841","192.168.53.39","192.168.168.30","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","36515  >  3368 Len=182","224","","","","","","",""
"0.014970820","Cisco_f5:f2:00","Broadcast","fc:5b:39:f5:f2:00","ff:ff:ff:ff:ff:ff","ARP","Gratuitous ARP for 192.168.13.158 (Reply)","60","","","","","","",""
"0.017560752","192.168.168.30","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","3368  >  36515 Len=1064","1106","","","","","","",""
"0.021343543","192.168.168.30","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","3368  >  36515 Len=182","224","","","","","","",""
"0.029545110","192.168.53.39","192.168.168.30","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","36515  >  3368 Len=182","224","","","","","","",""
"0.029643793","192.168.53.39","192.168.168.30","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","36515  >  3368 Len=800","842","","","","","","",""
"0.034742753","192.168.53.39","192.168.168.30","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","36515  >  3368 Len=801","843","","","","","","",""
"0.036979439","192.168.168.30","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","3368  >  36515 Len=1064","1106","","","","","","",""
"0.039877734","192.168.58.23","224.0.0.251","08:d4:0c:ba:b8:aa","01:00:5e:00:00:fb","MDNS","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question","82","","","","","","",""
"0.040127674","192.168.58.23","224.0.0.251","08:d4:0c:ba:b8:aa","01:00:5e:00:00:fb","MDNS","Standard query 0x0000 PTR _googlecast._tcp.local, ""QM"" question","82","","","","","","",""
"0.041081808","192.168.168.30","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","3368  >  36515 Len=182","224","","","","","","",""
"0.045171951","192.168.53.39","192.168.168.30","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","36515  >  3368 Len=182","224","","","","","","",""
"0.057338755","192.168.168.30","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","3368  >  36515 Len=1063","1105","","","","","","",""
"0.058106161","192.168.168.30","192.168.53.39","88:f0:31:04:19:97","b8:03:05:1e:8d:d6","UDP","3368  >  36515 Len=182","224","","","","","","",""
"0.062144976","192.168.53.39","192.168.168.30","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","36515  >  3368 Len=70","112","","","","","","",""
"0.066394902","192.168.53.39","192.168.168.30","b8:03:05:1e:8d:d6","00:00:0c:07:ac:28","UDP","36515  >  3368 Len=182","224","","","","","","",""
